SeLEV6574_g01882	tr|A0A1X0QNG9|A0A1X0QNG9_9FUNG	97.44	78	2	0	579	346	1	78	1e-62	155
SeLEV6574_g01882	tr|A0A1X0QNG9|A0A1X0QNG9_9FUNG	93.10	58	4	0	253	80	78	135	1e-62	112
SeLEV6574_g01889	tr|A0A1X0QNG9|A0A1X0QNG9_9FUNG	97.44	78	2	0	1	234	1	78	1e-62	155
SeLEV6574_g01889	tr|A0A1X0QNG9|A0A1X0QNG9_9FUNG	93.10	58	4	0	327	500	78	135	1e-62	112
SeLEV6574_g03358	tr|A0A397V4N1|A0A397V4N1_9GLOM	45.33	150	63	7	11	427	274	415	6e-27	117
SeLEV6574_g03378	tr|A0A1Y2CLA0|A0A1Y2CLA0_9FUNG	51.28	39	19	0	578	694	159	197	2e-08	46.6
SeLEV6574_g03378	tr|A0A1Y2CLA0|A0A1Y2CLA0_9FUNG	38.89	72	36	2	321	515	82	152	2e-08	41.6
SeLEV6574_g04187	tr|A0A1S8VW03|A0A1S8VW03_9FUNG	38.28	303	128	9	919	1803	199	450	1e-43	174
SeLEV6574_g04584	tr|A0A137PED9|A0A137PED9_CONC2	44.19	86	42	2	1884	2132	325	407	2e-28	66.6
SeLEV6574_g04584	tr|A0A137PED9|A0A137PED9_CONC2	79.41	34	7	0	2188	2289	408	441	2e-28	54.3
SeLEV6574_g04584	tr|A0A137PED9|A0A137PED9_CONC2	31.96	97	56	3	1534	1824	237	323	2e-28	46.6
SeLEV6574_g04584	tr|A0A137PED9|A0A137PED9_CONC2	41.38	29	16	1	2494	2580	466	493	2e-28	27.7
SeLEV6574_g04584	tr|A0A137PED9|A0A137PED9_CONC2	81.82	11	2	0	2345	2377	439	449	2e-28	22.7
SeLEV6574_g04602	tr|A0A1Y2GSV6|A0A1Y2GSV6_9FUNG	46.76	139	70	2	1065	1472	70	207	4e-34	139
SeLEV6574_g05099	tr|A0A1M2VI85|A0A1M2VI85_TRAPU	38.91	275	149	5	149	922	646	918	1e-46	182
SeLEV6574_g05461	tr|F4NW73|F4NW73_BATDJ	61.25	80	31	0	243	4	182	261	2e-62	117
SeLEV6574_g05461	tr|F4NW73|F4NW73_BATDJ	55.26	76	34	0	556	329	112	187	2e-62	96.7
SeLEV6574_g05461	tr|F4NW73|F4NW73_BATDJ	60.53	38	15	0	926	813	49	86	2e-62	55.1
SeLEV6574_g05461	tr|F4NW73|F4NW73_BATDJ	48.28	29	15	0	756	670	85	113	2e-62	41.6
SeLEV6574_g05479	tr|A0A139A438|A0A139A438_GONPR	31.40	86	46	3	653	435	137	222	2e-07	43.9
SeLEV6574_g05479	tr|A0A139A438|A0A139A438_GONPR	32.97	91	42	3	342	73	235	307	2e-07	40.4
SeLEV6574_g05843	tr|A0A0D2X3E2|A0A0D2X3E2_CAPO3	45.39	271	55	4	1340	528	300	477	1e-122	226
SeLEV6574_g05843	tr|A0A0D2X3E2|A0A0D2X3E2_CAPO3	45.90	183	39	4	1957	1409	179	301	1e-122	140
SeLEV6574_g05843	tr|A0A0D2X3E2|A0A0D2X3E2_CAPO3	48.06	129	33	2	2400	2014	89	183	1e-122	127
SeLEV6574_g05843	tr|A0A0D2X3E2|A0A0D2X3E2_CAPO3	34.21	114	36	4	745	404	426	500	6e-10	47.4
SeLEV6574_g05843	tr|A0A0D2X3E2|A0A0D2X3E2_CAPO3	31.31	99	35	3	303	7	512	577	6e-10	47.4
SeLEV6574_g06010	tr|A0A197JCQ7|A0A197JCQ7_9FUNG	44.37	142	75	2	4	417	951	1092	3e-27	119
SeLEV6574_g07051	tr|A0A0D2UKS4|A0A0D2UKS4_CAPO3	33.80	213	117	3	1318	680	453	641	3e-43	119
SeLEV6574_g07051	tr|A0A0D2UKS4|A0A0D2UKS4_CAPO3	45.59	68	36	1	618	415	637	703	3e-43	58.2
SeLEV6574_g07051	tr|A0A0D2UKS4|A0A0D2UKS4_CAPO3	25.93	81	57	1	1611	1369	382	459	3e-43	50.1
SeLEV6574_g08110	tr|A0A2Z4M8U6|A0A2Z4M8U6_9HOMO	33.33	531	317	14	1587	13	64	563	5e-71	259
SeLEV6574_g08262	tr|A0A1Y2GY88|A0A1Y2GY88_9FUNG	42.86	56	31	1	372	208	208	263	6e-04	48.5
SeLEV6574_g08409	tr|A0A1I8EAN7|A0A1I8EAN7_WUCBA	46.34	41	22	0	686	808	179	219	5e-10	50.4
SeLEV6574_g08409	tr|A0A1I8EAN7|A0A1I8EAN7_WUCBA	32.79	61	37	1	513	683	84	144	5e-10	42.0
